Nombre;Final;Máximo;Mínimo
ACCIONA;95,95;96,75;94,4
ACERINOX;8668;8672;8468
ACS;37,28;37,66;37,22
AENA;167,1;167,5;166,1
AMADEUS;69,96;70,64;69,56
ARCELORMIT.;14152;14318;14,08
BA.SABADELL;1,0165;1033;1,0165
BA.SANTANDER;4,02;4,0675;4,01
BANKIA;2249;2262;2224
BANKINTER;6,56;6604;6522
BBVA;5024;5,05;4969
CAIXABANK;2763;2806;2762
CELLNEX;30,17;30,7;30,17
CIE AUTOMOT.;23,44;23,74;23,4
ENAGAS;25,6;25,66;25,07
ENCE;3882;3974;3846
ENDESA;22,95;23,03;22,62
FERROVIAL;21,61;21,72;21,38
GRIFOLS CL.A;23,3;23,6;23,27
IAG;5,3;5,46;5292
IBERDROLA;8,45;8,45;8262
INDITEX;24,93;25,19;24,87
INDRA A;9,56;9685;9535
INM.COLONIAL;9915;9915;9745
MAPFRE;2654;2654;2,62
MEDIASET;6446;6592;6446
MELIA HOTELS;8,14;8,19;8,02
MERLIN;12,08;12,08;11,83
NATURGY;26,7;26,77;26,53
R.E.C.;19705;19875;19675
REPSOL;14515;14605;14,46
SIEMENS GAME;14,33;14,39;14155
TEC.REUNIDAS;23;23,2;22,78
TELEFONICA;7204;7256;7185
VISCOFAN;48,46;49,12;48,46
